# File containing the Normalization factors for several rates
# -------------------------------------------------------------
#

RateName   :  Rate_EvtsBeforeCuts
Computation of Normalization factors   :  Successful
RefRateVal :  5.4691e+02+/-1.1591e+01
Start Table:  Mean_PtMcIlwainL_LowEdge	Mean_PtMcIlwainL_UpperEdge	NormFactor	NormFactor_err
0.9		0.905		0		0
0.905		0.91		0		0
0.91		0.915		0		0
0.915		0.92		0		0
0.92		0.925		0		0
0.925		0.93		0		0
0.93		0.935		0		0
0.935		0.94		0		0
0.94		0.945		0		0
0.945		0.95		0		0
0.95		0.955		0		0
0.955		0.96		0		0
0.96		0.965		0		0
0.965		0.97		0		0
0.97		0.975		0		0
0.975		0.98		0		0
0.98		0.985		0.63243		0.034005
0.985		0.99		0.633389		0.034031
0.99		0.995		0.631852		0.03399
0.995		1		0.635271		0.034082
1		1.005		0.63777		0.034149
1.005		1.01		0.641517		0.034249
1.01		1.015		0.644207		0.034321
1.015		1.02		0.643838		0.034311
1.02		1.025		0.652809		0.034549
1.025		1.03		0.657093		0.034662
1.03		1.035		0.656962		0.034659
1.035		1.04		0.661676		0.034783
1.04		1.045		0.668174		0.034953
1.045		1.05		0.677373		0.035193
1.05		1.055		0.681451		0.035299
1.055		1.06		0.68488		0.035387
1.06		1.065		0.688855		0.03549
1.065		1.07		0.695798		0.035668
1.07		1.075		0.69957		0.035765
1.075		1.08		0.700322		0.035784
1.08		1.085		0.707545		0.035968
1.085		1.09		0.710807		0.036051
1.09		1.095		0.712393		0.036091
1.095		1.1		0.714752		0.036151
1.1		1.105		0.720637		0.036299
1.105		1.11		0.722546		0.036347
1.11		1.115		0.720973		0.036308
1.115		1.12		0.722978		0.036358
1.12		1.125		0.725921		0.036432
1.125		1.13		0.73103		0.03656
1.13		1.135		0.734716		0.036652
1.135		1.14		0.740808		0.036804
1.14		1.145		0.741168		0.036813
1.145		1.15		0.743687		0.036875
1.15		1.155		0.747812		0.036978
1.155		1.16		0.752007		0.037081
1.16		1.165		0.75563		0.03717
1.165		1.17		0.759851		0.037274
1.17		1.175		0.764012		0.037376
1.175		1.18		0.76535		0.037409
1.18		1.185		0.767566		0.037463
1.185		1.19		0.774643		0.037635
1.19		1.195		0.779094		0.037743
